apl,LSDP|2016_LRS,LSDP|2019_EP,LSDP|2020_LRS,LSDP|2024_EP,LSDP|2024_LRS,LSDP|summary,TS-LKD|2016_LRS,TS-LKD|2019_EP,TS-LKD|2020_LRS,TS-LKD|2024_EP,TS-LKD|2024_LRS,TS-LKD|summary,LVŽS|2016_LRS,LVŽS|2019_EP,LVŽS|2020_LRS,LVŽS|2024_EP,LVŽS|2024_LRS,LVŽS|summary,LRP|2016_LRS,LRP|2019_EP,LRP|2020_LRS,LRP|2024_EP,LRP|2024_LRS,LRP|summary,LS|2016_LRS,LS|2019_EP,LS|2020_LRS,LS|2024_EP,LS|2024_LRS,LS|summary,DSVL|2016_LRS,DSVL|2019_EP,DSVL|2020_LRS,DSVL|2024_EP,DSVL|2024_LRS,DSVL|summary,LP|2016_LRS,LP|2019_EP,LP|2020_LRS,LP|2024_EP,LP|2024_LRS,LP|summary,LT|2016_LRS,LT|2019_EP,LT|2020_LRS,LT|2024_EP,LT|2024_LRS,LT|summary,LLRA-KŠS|2016_LRS,LLRA-KŠS|2019_EP,LLRA-KŠS|2020_LRS,LLRA-KŠS|2024_EP,LLRA-KŠS|2024_LRS,LLRA-KŠS|summary,DP|2016_LRS,DP|2019_EP,DP|2020_LRS,DP|2024_EP,DP|2024_LRS,DP|summary,TTS|2016_LRS,TTS|2019_EP,TTS|2020_LRS,TTS|2024_EP,TTS|2024_LRS,TTS|summary,NS|2016_LRS,NS|2019_EP,NS|2020_LRS,NS|2024_EP,NS|2024_LRS,NS|summary,LŽP|2016_LRS,LŽP|2019_EP,LŽP|2020_LRS,LŽP|2024_EP,LŽP|2024_LRS,LŽP|summary,LLP|2016_LRS,LLP|2019_EP,LLP|2020_LRS,LLP|2024_EP,LLP|2024_LRS,LLP|summary,TK|2016_LRS,TK|2019_EP,TK|2020_LRS,TK|2024_EP,TK|2024_LRS,TK|summary,NA|2016_LRS,NA|2019_EP,NA|2020_LRS,NA|2024_EP,NA|2024_LRS,NA|summary,TURNOUT|2016_LRS,TURNOUT|2019_EP,TURNOUT|2020_LRS,TURNOUT|2024_EP,TURNOUT|2024_LRS,TURNOUT|summary,VOTERS|2016_LRS,VOTERS|2019_EP,VOTERS|2020_LRS,VOTERS|2024_EP,VOTERS|2024_LRS,VOTERS|summary,lrecon|2016_LRS,lrecon|2019_EP,lrecon|2020_LRS,lrecon|2024_EP,lrecon|2024_LRS,lrecon|summary,galtan|2016_LRS,galtan|2019_EP,galtan|2020_LRS,galtan|2024_EP,galtan|2024_LRS,galtan|summary
70:10:krosnos,17.46,24.58,19.44,26.7,24.5,23.56,26.31,13.55,19.44,8.52,8.84,12.8,27.7,19.41,19.05,3.41,7.63,12.16,,2.76,1.98,9.66,7.23,6.12,3.72,2.09,5.16,3.98,1.2,2.86,,,,7.95,13.25,11.18,,,5.56,7.39,1.2,4.05,9.61,4.79,1.19,0.0,0.8,2.08,0.0,0.0,0.0,0.0,0.0,0.0,6.8,14.14,15.08,2.27,0.8,6.12,4.05,6.56,3.57,20.45,3.61,7.99,,3.1,0.0,5.68,2.81,3.07,2.16,3.81,1.59,0.0,2.01,1.77,0.92,,1.98,,1.61,1.61,,,,2.84,0.8,1.6,,,,,24.5,24.5,41.14,46.19,38.86,28.59,41.89,38.92,742.98,698.21,687.0,633.0,623.0,658.23,0.01,-0.53,-0.76,-0.75,-0.81,-0.67,-0.06,0.12,-0.04,-0.06,0.63,0.22
38:4:gabijos,18.45,18.21,11.14,23.21,24.13,20.3,18.5,12.38,16.46,13.54,9.08,12.54,24.57,17.71,32.85,14.73,8.14,16.56,,2.75,2.5,9.97,4.29,4.82,5.84,3.86,5.33,3.27,4.8,4.56,,,,6.25,11.48,9.85,,,6.7,4.02,2.18,3.65,10.93,10.99,3.87,0.89,0.15,3.64,0.21,0.8,0.4,0.3,0.29,0.38,2.66,9.25,9.85,0.89,1.74,4.23,14.23,5.4,3.55,8.93,2.54,5.42,,3.04,1.21,3.27,2.25,2.4,1.42,1.85,1.45,4.02,0.65,1.66,0.98,,0.4,,1.74,1.29,,,,4.76,1.74,2.68,,,,,26.53,26.53,46.85,50.15,42.11,23.95,49.61,43.53,2377.45,3088.53,3035.0,2877.0,2844.0,2877.15,-0.04,-0.58,-0.6,-0.73,-0.68,-0.6,-0.12,0.24,0.12,0.17,0.58,0.31
48:22:šimonių,13.6,16.4,16.34,25.7,26.18,21.85,25.9,27.6,24.63,17.32,15.27,20.08,24.29,21.27,24.61,19.55,14.55,19.26,,1.58,3.91,5.03,0.73,2.54,2.99,3.46,4.25,1.12,3.64,3.08,,,,9.5,11.64,10.81,,,1.76,4.47,0.36,1.91,6.19,1.6,0.69,0.56,0.36,1.17,0.29,0.93,0.0,0.0,0.0,0.16,15.56,12.25,10.96,3.35,1.82,6.48,5.01,3.18,2.86,6.15,0.0,2.82,,2.85,2.51,5.03,2.55,3.22,2.64,2.21,2.45,1.12,1.82,1.9,1.17,,0.35,,2.91,1.97,,,,0.56,1.82,1.33,,,,,18.18,18.18,51.2,52.5,47.45,34.5,51.49,47.02,429.67,401.89,376.05,545.0,538.0,482.68,0.02,-0.23,-0.83,-0.75,-0.71,-0.6,-0.01,0.19,0.13,0.31,0.62,0.35
70:20:seiliūnų,15.75,18.5,14.29,27.78,30.0,24.41,19.37,11.21,16.19,7.78,3.85,8.93,36.98,21.45,30.48,6.67,6.15,14.43,,0.78,2.86,4.44,3.08,3.08,4.3,0.76,5.71,3.33,7.69,5.03,,,,17.78,15.38,16.36,,,5.71,0.0,4.62,3.28,13.5,2.22,0.95,0.0,0.77,1.85,0.01,0.01,1.9,0.0,0.0,0.27,2.19,12.52,12.38,0.0,0.77,3.99,3.59,8.15,2.86,16.67,1.54,6.74,,1.51,1.9,8.89,1.54,3.66,3.56,4.43,0.95,3.33,3.08,3.07,0.71,,0.0,,1.54,1.06,,,,1.11,0.77,0.91,,,,,20.0,20.0,49.78,53.95,42.8,41.35,56.78,49.84,305.6,283.72,264.0,237.0,236.0,252.68,-0.03,-0.58,-0.69,-0.93,-0.67,-0.67,-0.06,0.14,0.12,0.13,0.33,0.19
70:26:verstaminų,10.0,16.23,5.37,31.03,30.14,22.0,21.15,10.99,18.12,3.45,11.64,11.87,35.59,29.61,31.54,3.45,7.53,16.75,,4.49,1.34,26.44,10.27,11.29,4.09,1.99,2.01,0.0,2.74,2.05,,,,21.84,14.38,17.05,,,6.04,2.3,2.74,3.4,14.59,5.22,4.03,1.15,0.0,3.04,0.0,0.01,1.34,1.15,0.68,0.74,2.92,9.02,19.46,2.3,0.0,5.58,2.92,1.96,0.67,5.75,2.74,2.9,,1.28,0.0,0.0,0.0,0.2,5.24,8.32,4.03,0.0,0.0,2.4,0.59,,0.0,,1.37,0.88,,,,0.0,0.0,0.0,,,,,15.75,15.75,49.85,50.31,50.31,30.61,51.7,46.67,354.53,321.72,324.0,294.0,294.0,308.91,0.03,-0.46,-0.61,-1.09,-0.73,-0.68,-0.07,0.19,0.22,-0.16,0.44,0.19
70:9:krikštonių,13.01,20.04,13.29,26.47,34.85,24.82,29.89,19.45,18.88,14.71,14.39,17.47,26.42,18.66,21.68,7.84,3.79,12.26,,1.1,2.1,5.88,1.52,2.71,6.67,4.17,4.2,3.92,3.03,3.96,,,,11.76,8.33,9.77,,,6.99,8.82,4.55,6.49,10.61,7.26,3.5,3.92,0.76,3.97,0.0,0.54,0.0,0.0,0.76,0.34,5.04,10.51,11.89,0.98,3.79,5.67,3.87,4.83,2.1,7.84,4.55,4.94,,1.1,3.5,1.96,4.55,3.03,2.25,0.66,3.5,0.98,1.52,1.63,1.11,,0.7,,0.0,0.37,,,,2.94,3.79,3.43,,,,,13.64,13.64,60.71,70.82,53.82,42.68,55.37,55.13,315.44,290.95,275.0,246.0,242.0,263.3,0.09,-0.39,-0.63,-0.64,-0.64,-0.53,-0.05,0.13,0.03,0.02,0.31,0.13
70:4:būdviečio,16.8,22.52,14.29,27.38,44.88,30.05,19.3,12.36,19.64,13.1,7.09,12.39,42.15,15.21,22.32,0.0,3.94,11.37,,2.74,9.82,9.52,1.57,5.18,1.29,0.73,5.36,0.0,4.72,2.78,,,,26.19,13.39,18.31,,,5.36,4.76,0.79,2.93,12.03,8.88,0.0,0.0,0.79,2.85,0.0,1.35,0.89,2.38,0.0,0.88,2.41,14.33,10.71,1.19,1.57,4.86,2.42,4.79,4.46,8.33,1.57,4.13,,2.03,0.89,1.19,0.0,0.79,1.82,5.49,2.68,1.19,0.79,1.98,0.59,,0.0,,1.57,1.03,,,,2.38,1.57,1.88,,,,,17.32,17.32,53.59,50.27,39.6,32.09,48.47,44.17,316.24,308.98,298.0,268.0,262.0,281.36,-0.1,-0.6,-0.7,-0.88,-0.84,-0.72,-0.0,0.11,0.01,-0.09,0.26,0.09
70:8:kirsnos,15.86,20.54,4.96,30.59,24.52,20.77,24.06,11.48,13.48,4.71,6.45,9.77,28.49,25.31,38.3,10.59,12.26,20.12,,5.17,3.55,17.65,3.23,6.72,5.75,2.72,6.38,2.35,6.45,5.0,,,,7.06,10.32,9.21,,,2.13,1.18,3.23,2.44,9.06,3.59,1.42,1.18,0.0,1.87,0.0,0.0,0.0,0.0,0.65,0.25,4.59,17.93,23.4,1.18,1.29,8.1,7.28,3.28,1.42,12.94,5.81,6.16,,1.29,0.0,0.0,0.65,0.49,1.92,3.32,0.71,8.24,0.0,2.42,0.1,,0.0,,3.23,1.89,,,,0.0,1.29,0.85,,,,,21.94,21.94,51.01,53.66,50.0,28.71,52.51,47.44,352.48,318.55,298.0,303.0,299.0,307.5,0.02,-0.36,-0.6,-0.97,-0.64,-0.59,-0.09,0.09,0.36,-0.21,0.54,0.24
70:7:akirsnos,9.81,17.1,7.45,15.44,24.04,16.68,29.32,11.27,17.02,6.71,10.38,12.69,40.94,29.29,44.15,11.41,6.56,20.83,,2.41,2.66,6.04,1.09,2.97,3.69,1.05,1.06,0.67,2.19,1.62,,,,41.61,37.16,39.04,,,1.6,3.36,1.09,1.95,6.26,5.0,1.06,0.67,0.55,1.91,0.35,0.51,0.0,0.0,0.55,0.3,1.27,10.28,18.09,4.03,0.55,5.77,2.93,3.5,1.06,2.68,1.64,2.21,,2.39,2.13,2.01,0.0,1.33,4.27,7.13,1.6,3.36,1.09,2.94,0.04,,0.0,,1.09,0.61,,,,0.0,0.55,0.32,,,,,12.02,12.02,53.84,46.41,41.78,33.55,43.02,42.09,511.25,485.89,493.0,453.0,444.0,467.39,0.03,-0.46,-0.78,-0.93,-0.89,-0.72,0.03,0.15,0.46,0.21,0.56,0.34
70:33:varnėnų,18.31,13.01,12.78,28.87,20.27,19.71,20.33,17.98,27.82,28.87,18.24,22.3,20.32,15.76,24.06,7.22,8.11,12.8,,3.14,1.5,6.19,1.35,2.92,5.1,3.23,3.01,1.03,2.03,2.45,,,,7.22,20.27,15.18,,,0.75,4.12,2.03,2.41,17.12,5.73,0.75,2.06,0.68,3.46,0.11,0.51,0.75,0.0,0.0,0.21,8.32,14.81,17.29,1.03,0.68,6.36,5.41,6.26,1.5,7.22,1.35,3.91,,3.76,0.0,3.09,2.03,2.27,2.49,4.51,2.26,1.03,1.35,2.04,0.83,,0.75,,0.68,0.72,,,,0.0,0.68,0.41,,,,,20.95,20.95,50.55,52.71,39.06,30.86,45.48,42.84,800.16,776.46,361.0,324.0,332.0,453.29,0.02,-0.33,-0.87,-0.61,-0.67,-0.56,-0.12,0.22,0.11,0.11,0.63,0.29
70:23:šeštokų,17.31,18.95,10.48,29.85,27.38,22.48,26.94,22.04,21.53,14.43,11.31,17.0,27.13,16.51,30.03,8.46,8.33,15.47,,3.14,3.12,16.42,7.74,7.96,4.34,3.32,3.97,2.49,4.76,3.9,,,,9.45,12.2,11.23,,,4.82,1.0,0.89,1.89,9.93,5.05,1.42,1.0,0.0,2.22,0.24,0.02,0.0,1.0,0.0,0.23,4.92,9.7,12.18,2.99,1.19,5.23,3.01,6.14,1.98,4.48,2.98,3.57,,1.49,1.7,4.98,2.08,2.55,2.91,5.68,1.98,1.99,1.19,2.34,0.68,,1.13,,2.38,1.76,,,,1.0,1.19,1.12,,,,,17.56,17.56,47.33,44.82,43.17,24.91,42.73,40.02,915.81,849.04,871.0,827.0,812.0,841.89,0.03,-0.38,-0.7,-0.83,-0.71,-0.61,-0.08,0.1,0.19,0.09,0.5,0.24
70:30:dzūkų,18.22,22.9,13.06,29.51,29.01,24.34,23.82,18.49,24.7,12.17,13.22,16.85,20.88,17.34,23.76,7.83,8.62,13.62,,2.29,3.46,5.31,2.42,3.26,6.59,4.88,7.79,4.76,4.75,5.49,,,,19.02,17.81,18.24,,,5.59,5.59,1.45,3.54,11.98,4.6,1.18,0.98,0.4,2.41,0.35,0.44,0.31,0.14,0.08,0.21,5.32,8.89,9.83,1.96,0.97,4.34,7.88,5.2,1.97,5.59,2.34,3.9,,1.6,1.81,2.1,1.21,1.59,2.19,2.81,1.81,2.38,1.21,1.89,0.87,,0.24,,0.73,0.62,,,,0.98,0.97,0.97,,,,,15.79,15.79,55.25,53.52,50.09,30.78,52.89,48.2,4410.3,4130.55,2695.0,2424.0,2405.0,2911.38,0.04,-0.48,-0.63,-0.81,-0.71,-0.61,-0.14,0.06,0.01,-0.03,0.46,0.16
70:15:metelių,21.08,24.66,23.44,18.18,32.17,24.85,23.56,18.36,21.09,18.18,15.65,18.24,28.09,12.34,22.66,7.27,5.22,11.38,,2.64,2.34,4.55,0.0,2.23,3.46,2.66,2.34,9.09,2.61,4.46,,,,4.55,11.3,8.19,,,3.91,7.27,2.61,4.58,7.76,6.5,0.78,4.55,1.74,3.52,0.91,1.29,0.0,0.0,0.0,0.26,5.34,8.75,12.5,2.73,4.35,5.98,3.62,8.08,0.78,16.36,2.61,7.09,,1.33,0.0,0.0,1.74,0.83,6.07,6.51,1.56,6.36,1.74,4.04,0.01,,0.78,,1.74,1.24,,,,0.0,4.35,2.34,,,,,16.52,16.52,47.56,64.54,55.51,50.23,55.3,54.76,267.11,252.75,245.0,221.0,217.0,231.73,-0.01,-0.5,-0.89,-0.45,-0.66,-0.57,-0.13,-0.01,-0.05,-0.05,0.4,0.1
54:2:narto,19.52,22.13,13.53,21.09,22.23,20.15,24.83,21.02,29.9,22.03,17.32,21.78,30.67,15.6,22.35,12.05,7.99,14.7,,2.35,2.55,2.82,1.83,2.26,7.18,5.42,5.78,4.52,5.77,5.62,,,,12.62,15.98,14.9,,,7.45,4.14,4.33,5.05,5.06,3.57,1.27,0.75,0.0,1.4,0.09,0.2,0.0,0.38,0.0,0.11,2.29,5.03,7.16,3.01,1.35,3.38,5.83,7.78,1.86,4.9,2.41,3.91,,3.58,2.16,3.58,1.92,2.58,1.2,2.47,1.18,3.2,1.54,1.89,1.1,,0.1,,2.79,1.8,,,,3.01,1.35,1.88,,,,,14.53,14.53,57.6,59.31,56.09,29.46,58.44,52.77,1967.49,1870.78,1879.0,1826.0,1824.0,1855.27,-0.01,-0.48,-0.65,-0.65,-0.52,-0.51,-0.1,0.06,-0.02,0.21,0.47,0.21
70:17:noragėlių,19.82,14.9,15.91,36.62,35.56,28.42,16.58,11.07,19.32,11.27,8.89,12.11,32.74,27.5,31.82,1.41,5.56,14.01,,2.82,3.41,8.45,5.56,5.56,6.51,1.92,0.0,1.41,5.56,3.09,,,,5.63,4.44,4.95,,,3.41,1.41,4.44,3.2,10.95,1.99,3.41,0.0,0.0,1.66,0.01,0.91,0.0,1.41,0.0,0.51,5.69,8.83,15.91,0.0,0.0,4.32,1.9,7.76,1.14,26.76,1.11,8.9,,2.0,0.0,0.0,0.0,0.32,3.34,5.68,2.27,4.23,0.0,2.57,0.83,,0.0,,2.22,1.43,,,,0.0,0.0,0.0,,,,,26.67,26.67,35.09,44.53,38.66,33.03,41.74,38.87,311.3,290.71,238.0,221.0,218.0,239.7,-0.04,-0.51,-0.83,-0.96,-0.62,-0.68,-0.14,0.3,0.14,-0.41,0.34,0.07
70:19:rudaminos,7.97,15.36,5.38,32.61,25.47,19.98,27.65,15.62,16.13,9.78,8.07,12.84,37.07,29.41,30.65,8.7,8.07,18.3,,1.15,1.61,1.09,3.73,2.3,4.06,3.61,3.76,2.17,3.73,3.44,,,,20.65,26.71,24.64,,,12.37,3.26,2.48,5.12,8.25,2.22,3.76,0.0,0.0,1.79,0.01,0.52,0.54,1.09,0.0,0.39,7.74,9.54,15.05,0.0,0.0,4.97,3.04,7.19,1.08,14.13,3.11,5.5,,2.59,1.08,1.09,0.62,1.15,1.67,4.82,1.61,1.09,3.11,2.57,1.45,,0.54,,1.24,1.07,,,,2.17,0.0,0.74,,,,,13.66,13.66,51.56,54.63,52.73,29.21,52.87,48.38,429.48,371.1,366.0,315.0,314.0,343.13,0.03,-0.41,-0.46,-0.97,-0.82,-0.64,0.06,0.26,0.09,-0.02,0.47,0.23
70:21:seirijų,17.51,23.11,12.65,27.03,28.79,23.84,25.2,21.65,26.84,15.55,13.64,18.53,31.62,15.79,24.96,9.57,6.32,13.9,,2.29,3.42,5.02,1.83,3.01,3.55,2.4,2.56,2.87,3.33,2.97,,,,11.96,17.3,15.2,,,4.27,3.11,2.16,2.91,8.68,2.09,2.74,0.24,0.0,1.63,0.0,0.47,0.17,0.48,0.17,0.27,4.1,6.99,10.43,2.15,2.16,4.42,3.94,7.27,3.25,13.64,2.83,6.19,,4.14,1.37,4.07,2.5,2.98,2.75,3.4,2.05,0.96,0.67,1.57,0.3,,0.17,,1.66,1.06,,,,1.44,2.16,1.88,,,,,16.64,16.64,54.53,57.82,47.82,36.26,52.81,49.09,1033.34,929.33,1284.0,1183.0,1176.0,1143.86,-0.01,-0.53,-0.75,-0.79,-0.72,-0.65,-0.06,0.05,0.1,0.13,0.48,0.22
56:13:jurzdikos,3.42,3.3,2.06,3.5,8.87,5.18,1.74,0.61,3.42,1.56,1.83,1.84,3.15,1.84,3.08,1.17,1.22,1.74,,2.06,0.69,0.78,0.92,1.01,0.33,1.45,1.03,0.0,0.61,0.6,,,,1.95,1.22,1.53,,,2.4,3.11,1.22,2.1,4.11,0.94,0.68,0.0,0.0,0.58,75.84,59.29,64.64,84.82,72.78,73.18,8.82,11.49,19.6,1.17,0.31,5.75,1.16,1.47,0.0,0.78,0.92,0.83,,0.01,0.34,0.0,0.92,0.42,0.29,0.03,0.0,0.39,0.0,0.13,0.85,,0.0,,5.2,3.24,,,,0.39,0.31,0.34,,,,,3.98,3.98,59.29,59.13,54.15,49.25,62.83,57.07,678.77,641.48,568.42,532.0,530.0,563.99,-0.24,-0.74,-0.71,-0.77,-0.77,-0.71,0.23,1.04,0.91,1.19,1.18,1.04
70:22:stebulių,17.36,24.27,13.93,27.85,27.93,24.52,36.05,13.37,25.41,10.13,4.5,13.05,25.59,29.49,28.69,15.19,9.01,17.96,,2.24,3.28,11.39,1.8,4.61,2.67,5.17,5.74,0.0,2.7,2.84,,,,8.86,19.82,15.56,,,2.46,1.27,0.9,1.28,10.13,11.75,0.82,1.27,0.9,3.7,0.0,0.01,0.0,0.0,0.0,0.0,1.43,6.08,9.02,6.33,3.6,5.11,0.09,2.27,0.0,7.59,4.5,3.87,,0.02,0.0,0.0,3.6,1.5,3.34,0.78,4.1,2.53,3.6,2.91,2.64,,0.0,,0.9,1.01,,,,2.53,3.6,3.18,,,,,16.22,16.22,49.22,51.44,30.21,30.77,45.67,41.54,323.0,300.57,288.0,260.0,254.0,274.26,0.08,-0.43,-0.77,-0.92,-0.9,-0.71,-0.03,0.1,0.06,0.16,0.52,0.25
54:4:tarpučių,20.81,24.44,16.34,19.79,24.93,21.91,22.24,21.0,24.03,18.87,15.22,19.15,33.34,16.77,21.87,11.23,11.07,16.27,,2.49,3.25,7.41,3.92,4.19,6.95,5.1,5.07,3.59,5.96,5.34,,,,9.03,13.17,11.87,,,10.48,5.32,3.07,5.51,4.01,2.75,0.8,0.93,0.11,1.19,0.06,0.11,0.11,0.12,0.0,0.07,2.62,5.45,7.06,5.21,0.97,3.75,5.74,6.0,2.68,4.75,2.27,3.71,,3.3,2.96,4.98,3.01,3.43,1.45,2.49,1.14,3.24,1.36,1.83,1.16,,0.11,,1.48,1.04,,,,3.47,0.97,1.75,,,,,13.46,13.46,51.01,52.48,49.82,23.69,49.0,45.55,3583.63,3553.91,3673.0,3693.0,3665.0,3645.67,-0.04,-0.49,-0.63,-0.62,-0.58,-0.53,-0.11,0.03,-0.09,0.22,0.48,0.2
54:6:mokolų,21.04,26.19,16.13,20.61,24.71,22.34,20.44,17.46,23.58,16.64,14.83,17.65,32.95,15.55,21.27,14.2,10.47,15.99,,2.06,3.69,5.65,3.42,3.67,5.36,5.48,5.07,5.04,4.87,5.08,,,,7.48,13.52,11.65,,,8.22,4.12,3.13,4.57,3.9,2.5,0.84,0.76,0.07,1.07,0.06,0.29,0.0,0.31,0.07,0.13,2.7,6.77,8.99,5.8,1.09,4.36,8.4,6.69,2.07,5.34,1.96,3.93,,3.01,2.69,3.97,2.18,2.77,2.26,2.72,1.15,3.21,1.45,1.98,1.03,,0.38,,2.18,1.54,,,,5.34,1.09,2.4,,,,,16.06,16.06,52.0,53.5,47.96,25.33,53.33,47.33,3048.16,2863.34,2825.0,2641.0,2625.0,2741.0,-0.07,-0.57,-0.67,-0.67,-0.61,-0.57,-0.1,-0.02,-0.03,0.23,0.51,0.22
28:24:vandentiekio,14.82,17.38,10.42,21.34,21.12,18.1,27.13,21.9,27.6,23.78,19.62,22.83,26.05,11.05,18.96,10.37,6.81,12.07,,1.73,3.02,3.25,1.8,2.31,7.64,7.23,7.5,6.1,7.61,7.26,,,,6.3,9.91,8.78,,,8.85,6.1,4.0,5.63,5.5,4.02,0.83,1.22,0.3,1.66,0.26,0.6,0.31,0.2,0.0,0.21,3.27,11.73,12.81,1.63,2.9,5.85,9.13,4.8,2.4,7.93,1.9,4.22,,4.15,1.15,2.44,2.8,2.66,2.22,1.91,1.56,4.67,1.1,2.05,1.64,,0.31,,1.8,1.39,,,,4.07,2.9,3.27,,,,,18.32,18.32,49.59,53.08,44.53,24.39,50.54,45.17,2389.37,2294.38,2241.0,2034.0,2024.0,2141.99,0.05,-0.31,-0.55,-0.54,-0.41,-0.4,-0.08,0.09,-0.07,0.08,0.46,0.19
70:24:šventežerio,15.24,19.79,10.74,23.24,23.01,19.92,23.35,13.79,23.15,10.27,9.2,13.64,28.49,22.82,33.56,12.43,6.13,16.28,,4.25,3.69,4.86,2.15,3.38,3.5,2.23,4.7,2.16,1.84,2.57,,,,24.32,31.29,28.85,,,7.38,2.7,1.23,2.91,10.53,7.34,0.34,0.54,0.31,2.33,0.0,1.23,0.34,0.54,0.0,0.34,6.59,11.39,7.38,1.62,0.92,4.09,6.14,3.77,3.36,9.73,2.45,4.68,,0.96,0.34,0.54,2.45,1.4,3.47,3.98,1.01,5.41,2.15,3.04,0.75,,0.0,,1.23,0.86,,,,0.54,0.92,0.79,,,,,15.64,15.64,54.39,49.82,44.54,31.71,55.46,47.8,767.16,700.38,696.0,615.0,613.0,653.57,0.0,-0.49,-0.67,-0.89,-0.88,-0.71,-0.06,0.16,0.14,0.06,0.59,0.28
54:1:kvietiškio,21.4,24.53,17.69,20.16,25.44,22.65,18.76,18.62,24.12,19.51,14.52,18.08,34.68,16.15,20.7,16.91,10.12,16.37,,2.38,3.67,3.58,1.98,2.68,6.59,4.78,5.13,3.58,5.5,5.1,,,,6.18,13.12,11.05,,,8.39,4.88,2.71,4.53,4.09,2.52,0.98,0.98,0.29,1.22,0.14,0.38,0.0,0.16,0.37,0.25,2.76,7.55,9.29,3.9,1.32,4.24,6.35,7.01,3.34,7.32,2.86,4.67,,2.99,1.96,3.9,2.71,2.84,2.11,2.08,1.06,3.25,2.05,2.1,0.9,,0.24,,1.69,1.2,,,,4.07,1.32,2.14,,,,,15.32,15.32,47.69,48.44,44.35,23.2,51.43,44.5,3139.69,2882.34,2886.0,2741.0,2720.0,2816.71,-0.08,-0.53,-0.68,-0.63,-0.61,-0.56,-0.12,0.01,-0.09,0.29,0.48,0.22
70:25:teizų,12.39,11.88,11.9,29.81,23.78,19.98,25.15,15.89,20.24,8.65,8.54,13.45,30.65,17.53,27.98,4.81,7.93,14.6,,2.76,2.98,3.85,1.22,2.44,1.43,4.38,8.33,2.88,5.49,4.85,,,,9.62,24.39,18.91,,,8.93,5.77,2.44,4.92,13.84,5.2,0.6,1.92,0.0,2.73,0.01,1.05,0.0,0.0,0.0,0.16,7.67,18.92,9.52,4.81,3.05,7.44,5.99,6.94,2.98,13.46,4.88,6.78,,1.58,0.0,2.88,1.22,1.43,1.47,2.21,0.6,2.88,0.61,1.42,0.51,,0.0,,1.83,1.11,,,,3.85,3.05,3.35,,,,,14.63,14.63,49.36,45.77,41.88,26.65,42.6,40.29,478.02,439.48,437.0,394.0,392.0,416.43,-0.01,-0.22,-0.57,-0.8,-0.74,-0.57,0.03,0.22,-0.0,-0.06,0.5,0.2
28:10:menųmokyklos,15.93,16.82,7.43,18.2,20.84,17.03,28.02,23.38,32.25,27.56,20.11,24.8,27.19,11.07,15.46,7.95,6.61,10.96,,2.41,3.97,6.18,1.47,3.09,8.86,6.89,7.12,7.42,7.81,7.58,,,,7.24,12.76,10.95,,,8.24,4.06,3.12,4.49,4.73,3.27,1.02,1.94,0.28,1.61,0.18,0.37,0.41,0.18,0.09,0.21,2.92,11.44,13.53,0.88,1.65,5.11,5.92,6.66,3.15,5.12,1.56,3.71,,4.28,1.83,4.42,3.67,3.6,2.2,1.87,2.03,2.65,1.38,1.89,1.07,,0.0,,2.2,1.48,,,,3.18,1.65,2.15,,,,,16.44,16.44,45.51,48.08,39.9,24.65,47.44,41.74,2749.19,2635.56,2564.0,2365.0,2344.0,2468.0,0.07,-0.28,-0.53,-0.49,-0.44,-0.39,-0.12,0.09,-0.04,0.23,0.48,0.23
54:16:mokolųkaimo,24.42,23.96,17.83,22.58,28.92,24.6,20.07,15.84,18.67,18.64,13.89,16.45,30.56,16.14,18.67,11.47,7.92,13.89,,3.41,6.83,7.89,4.68,5.5,5.32,4.44,5.5,4.66,6.46,5.56,,,,5.73,11.63,9.88,,,8.33,3.94,2.1,4.05,5.35,3.42,0.17,0.72,0.16,1.24,0.01,0.18,0.17,0.36,0.0,0.12,4.04,9.12,10.83,6.45,1.94,5.66,5.05,7.94,3.83,6.45,1.45,4.07,,3.18,1.5,3.23,2.42,2.51,2.58,3.4,1.0,3.23,1.62,2.14,1.47,,0.33,,1.29,1.05,,,,4.3,1.94,2.64,,,,,15.51,15.51,44.04,46.26,44.11,21.1,47.14,41.77,1650.73,1609.91,1417.0,1346.0,1345.0,1427.77,-0.08,-0.51,-0.68,-0.65,-0.62,-0.57,-0.13,0.01,-0.07,0.13,0.41,0.16
63:24:igliaukos,18.14,24.57,26.32,44.26,34.09,31.55,10.66,12.28,13.53,6.01,6.52,8.96,37.46,23.77,27.57,12.57,8.02,17.44,,1.89,4.01,3.83,3.76,3.52,1.5,4.1,2.01,1.09,1.0,1.71,,,,14.75,23.81,21.08,,,4.01,1.64,1.25,2.01,11.02,2.47,0.0,0.0,0.0,1.37,0.0,0.03,0.0,0.55,0.0,0.1,6.73,12.78,11.53,4.37,0.75,5.71,10.05,3.77,2.01,5.46,3.26,4.1,,2.51,2.51,1.09,0.25,1.24,2.7,2.07,1.5,1.09,0.25,1.12,0.26,,0.75,,3.01,2.03,,,,2.73,0.75,1.35,,,,,14.04,14.04,42.6,44.47,43.26,21.53,47.04,41.14,982.41,948.81,957.0,864.0,861.0,903.39,-0.17,-0.48,-0.93,-1.09,-0.95,-0.83,-0.05,0.08,0.03,-0.11,0.49,0.19
